season,league,competition,category,section,section_label,match_date,kickoff_time,home_team,away_team,home_score,away_score,stadium,attendance,status,match_url,match_id
2026_27,J1,明治安田J1リーグ,j1,9.0,第９節第２日,2026-10-10,,kasm,g-os,,,メルスタ,,postponed_or_tbd,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-9-kasm-vs-g-os
2026_27,J1,明治安田J1リーグ,j1,9.0,第９節第２日,2026-10-10,19:00,kyot,mcd,,,サンガＳ,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-9-kyot-vs-mcd
2026_27,J1,明治安田J1リーグ,j1,9.0,第９節第２日,2026-10-10,14:00,c-os,y-fm,,,ハナサカ,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-9-c-os-vs-y-fm
2026_27,J1,明治安田J1リーグ,j1,9.0,第９節第２日,2026-10-10,15:00,FCtk,uraw,,,味スタ,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-9-FCtk-vs-uraw
2026_27,J1,明治安田J1リーグ,j1,9.0,第９節第２日,2026-10-10,15:00,fuku,okay,,,ベススタ,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-9-fuku-vs-okay
2026_27,J1,明治安田J1リーグ,j1,9.0,第９節第３日,2026-10-11,14:00,chib,ngsk,,,フクアリ,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-9-chib-vs-ngsk
2026_27,J1,明治安田J1リーグ,j1,9.0,第９節第３日,2026-10-11,15:00,mito,shim,,,水戸信ス,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-9-mito-vs-shim
2026_27,J1,明治安田J1リーグ,j1,9.0,第９節第３日,2026-10-11,15:00,tk-v,hiro,,,味スタ,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-9-tk-v-vs-hiro
2026_27,J1,明治安田J1リーグ,j1,9.0,第９節第３日,2026-10-11,16:00,ka-f,nago,,,Ｕ等々力,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-9-ka-f-vs-nago
2026_27,J1,明治安田J1リーグ,j1,10.0,第１０節第１日,2026-10-17,19:00,kasw,nago,,,三協Ｆ柏,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-10-kasw-vs-nago
2026_27,J1,明治安田J1リーグ,j1,10.0,第１０節第１日,2026-10-17,13:00,shim,g-os,,,アイスタ,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-10-shim-vs-g-os
2026_27,J1,明治安田J1リーグ,j1,10.0,第１０節第１日,2026-10-17,,okay,kobe,,,ＪＦＥス,,postponed_or_tbd,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-10-okay-vs-kobe
2026_27,J1,明治安田J1リーグ,j1,10.0,第１０節第１日,2026-10-17,14:00,chib,y-fm,,,フクアリ,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-10-chib-vs-y-fm
2026_27,J1,明治安田J1リーグ,j1,10.0,第１０節第１日,2026-10-17,14:00,tk-v,FCtk,,,味スタ,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-10-tk-v-vs-FCtk
2026_27,J1,明治安田J1リーグ,j1,10.0,第１０節第１日,2026-10-17,14:00,mcd,fuku,,,Ｇスタ,,unplayed,https://data.j-league.or.jp/SFMS01/search?competition_years=2026&competition_frame_ids=1&tv_relay_station_name=,2026_27-j1-10-mcd-vs-fuku
