match_id,section,match_date,feature_source,feature_as_of,feature_snapshot_path,fallback_reason,provenance_summary
2026_special-100yj1-4-ka-f-vs-mito,4,2026-03-01,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-5-chib-vs-kasw,5,2026-03-07,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-5-FCtk-vs-y-fm,5,2026-03-07,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-5-c-os-vs-shim,5,2026-03-07,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-5-uraw-vs-mito,5,2026-03-07,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-5-fuku-vs-nago,5,2026-03-07,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-5-kasm-vs-tk-v,5,2026-03-07,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-5-okay-vs-kyot,5,2026-03-08,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-5-g-os-vs-ngsk,5,2026-03-08,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-6-y-fm-vs-chib,6,2026-03-14,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
